username,verified,followersCount,content,date,country,replyCount,retweetCount,likeCount,url,hashtags
ftx_app,True,273048,"In the future, will people use Satoshi Nakamoto’s address as a wishing well? Sending a few sats per wish.",2020-12-29 23:14:12+00:00,Argentina,6,11,95,https://twitter.com/ftx_app/status/1344059170694299649,[]
Tyler_Donovan_1,False,920,"@jchatterleyCNN Ask Anthony Pompliano what the use case of Bitcoin is after 11 years (Store of Value is NOT a use case), ask how well the Lightning Network is working with medium and larger transactions, 6 tx's per second, and long verification times is unacceptable for use.",2020-02-24 20:06:18+00:00,Canada,0,0,1,https://twitter.com/Tyler_Donovan_1/status/1232034034605264899,[]
FLGatorTrader,False,8076,"I hear everyone talk about how USDT printing artificially increases the price of $BTC. 

Can someone articulate how to me, calmly and rationally?",2020-12-30 23:54:13+00:00,Argentina,20,0,33,https://twitter.com/FLGatorTrader/status/1344431628811120646,[]
optical_window,False,671,@PeterSchiff The FED aka Satoshi Nakamoto owns 1 Million btc,2020-12-29 15:38:40+00:00,Argentina,0,0,0,https://twitter.com/optical_window/status/1343944533487312897,[]
shanesek1,False,278,@Neloangelo314 Bitcoins first use case was illegal drug transactions on Silk Road while being created by a pseudonymous name Satoshi Nakamoto which apparently refers to Central Intelligence in Japanese.The world we live in 🤐,2020-12-30 08:01:35+00:00,Argentina,0,0,1,https://twitter.com/shanesek1/status/1344191891659579395,[]
smith2_kam,False,876,Bitcoin at 11 sheesh,2020-07-27 22:34:08+00:00,Canada,0,0,0,https://twitter.com/smith2_kam/status/1287878967383298048,[]
MarketTrendAdv,False,1914,"@APompliano $CLSK holds half of the coins it mines.  Sells the other half to fund solar projects.  For $BTC, everything over $6K is profit for them.",2020-12-30 23:45:57+00:00,Argentina,0,0,1,https://twitter.com/MarketTrendAdv/status/1344429550948724745,[]
Bugoutcrypto,False,269,@Treshiq BITCOIN. CRYPTO. MONERO. LITECOIN. ETHEREUM...CHAINLINK...VECHAIN. LET'S DO THIS RESESEARCH 🤩,2020-12-22 12:16:15+00:00,Mexico,0,0,0,https://twitter.com/Bugoutcrypto/status/1341356877960126464,[]
LykkeTrading,False,434,"#Bitcoin #btc at new high level.
RSI #Bearish Divergence 
Chart by: @100eyesCrypto #SatoshiNakamoto https://t.co/AWWLQxgkO6",2020-12-30 08:04:21+00:00,Argentina,0,0,1,https://twitter.com/LykkeTrading/status/1344192587926802433,"['Bitcoin', 'btc', 'Bearish', 'SatoshiNakamoto']"
ernstimfeld,False,308,@Northst18363337 SEC cases can trag on for years in court. I think as well the SEC has no case but it will damage ripple for a while and ripple holders could move over to Bitcoin.,2020-12-23 08:31:45+00:00,Switzerland,0,0,1,https://twitter.com/ernstimfeld/status/1341662768903151616,[]
